Gss year for this respondent                       ,Respondent id number,How often r attends religious services,Ballot used for interview,Respondents sex
1972,1,Once a year,Not applicable,Female
1972,2,Every week,Not applicable,Male
1972,3,Once a month,Not applicable,Female
1972,4,Never,Not applicable,Female
1972,5,Never,Not applicable,Female
1972,6,Once a year,Not applicable,Male
1972,7,Every week,Not applicable,Male
1972,8,Never,Not applicable,Male
1972,9,Sevrl times a yr,Not applicable,Female
1972,10,More thn once wk,Not applicable,Female
1972,11,Every week,Not applicable,Female
1972,12,Every week,Not applicable,Male
1972,13,Every week,Not applicable,Male
1972,14,Every week,Not applicable,Female
1972,15,More thn once wk,Not applicable,Male
1972,16,2-3x a month,Not applicable,Male
1972,17,Every week,Not applicable,Male
1972,18,Every week,Not applicable,Female
1972,19,Every week,Not applicable,Female
1972,20,2-3x a month,Not applicable,Female
1972,21,2-3x a month,Not applicable,Male
1972,22,Once a year,Not applicable,Male
1972,23,Lt once a year,Not applicable,Male
1972,24,Never,Not applicable,Female
1972,25,Sevrl times a yr,Not applicable,Female
1972,26,Every week,Not applicable,Female
1972,27,Once a year,Not applicable,Male
1972,28,Once a year,Not applicable,Female
1972,29,Sevrl times a yr,Not applicable,Male
1972,30,Every week,Not applicable,Male
1972,31,Sevrl times a yr,Not applicable,Male
1972,32,Every week,Not applicable,Female
1972,33,Every week,Not applicable,Male
1972,34,Every week,Not applicable,Female
1972,35,2-3x a month,Not applicable,Male
1972,36,Sevrl times a yr,Not applicable,Male
1972,37,Nrly every week,Not applicable,Female
1972,38,More thn once wk,Not applicable,Female
1972,39,Once a year,Not applicable,Male
1972,40,More thn once wk,Not applicable,Female
1972,41,More thn once wk,Not applicable,Female
1972,42,2-3x a month,Not applicable,Male
1972,43,2-3x a month,Not applicable,Male
1972,44,Once a month,Not applicable,Female
1972,45,Every week,Not applicable,Female
1972,46,Every week,Not applicable,Female
1972,47,Every week,Not applicable,Male
1972,48,Once a month,Not applicable,Male
1972,49,Nrly every week,Not applicable,Male
1972,50,Sevrl times a yr,Not applicable,Male
1972,51,Never,Not applicable,Male
1972,52,Every week,Not applicable,Male
1972,53,2-3x a month,Not applicable,Male
1972,54,More thn once wk,Not applicable,Female
1972,55,Nrly every week,Not applicable,Female
1972,56,Every week,Not applicable,Male
1972,57,Sevrl times a yr,Not applicable,Female
1972,58,Nrly every week,Not applicable,Female
1972,59,Sevrl times a yr,Not applicable,Female
1972,60,Once a year,Not applicable,Female
1972,61,Lt once a year,Not applicable,Male
1972,62,Every week,Not applicable,Female
1972,63,Sevrl times a yr,Not applicable,Male
1972,64,2-3x a month,Not applicable,Male
1972,65,Nrly every week,Not applicable,Male
1972,66,Sevrl times a yr,Not applicable,Female
1972,67,Lt once a year,Not applicable,Male
1972,68,2-3x a month,Not applicable,Female
1972,69,Every week,Not applicable,Female
1972,70,Every week,Not applicable,Male
1972,71,More thn once wk,Not applicable,Male
1972,72,Lt once a year,Not applicable,Female
1972,73,Every week,Not applicable,Male
1972,74,More thn once wk,Not applicable,Female
1972,75,Lt once a year,Not applicable,Male
1972,76,Never,Not applicable,Male
1972,77,Lt once a year,Not applicable,Female
1972,78,Never,Not applicable,Female
1972,79,Once a month,Not applicable,Male
1972,80,Nrly every week,Not applicable,Female
1972,81,Never,Not applicable,Male
1972,82,Nrly every week,Not applicable,Female
1972,83,Never,Not applicable,Male
1972,84,Every week,Not applicable,Female
1972,85,Never,Not applicable,Male
1972,86,Sevrl times a yr,Not applicable,Male
1972,87,Lt once a year,Not applicable,Female
1972,88,Never,Not applicable,Female
1972,89,Sevrl times a yr,Not applicable,Male
